normalized_part_number,models,model_count,part_number_variants,descriptions,categories,record_count,source_file
A18-606,PL-A25; QT-6100; QT-6600; QT-74; T-6100; T-6600,6,A18-606; A18-606-0,"Function lever knob; Knob (PAUSE lever); KNOB(PAUSE); Knob, PAUSE lever; Pause lever knob",Reel To Reel Tape; Turntable,6,parts_01.csv
A19-038,SX-9000,1,A19-038-0,Knob for POWER SWITCH,Receiver,1,parts_01.csv
A19-077,QX-8000; SA-900; SD-1000; SX-6000; SX-9000; TX-900,6,A19-077; A19-077-0,"Knob (push switch); Knob for LOW FILTEFLHIGH FlLTER,FM MUTING,LOUDNESS; Knob for Mini switch (SPEAKER); Knob for Push button switch; KNOB(FUNCTION-LOUD/FILT...ETC.); Knob, Loudness, Low ﬁlter, High filter",Integrated Amplifier; Other; Receiver; Tuner,6,parts_01.csv
A19-078,SX-9000,1,A19-078-0,"Knob ior TAPE MONITOR A,TAPE MONITOR B (DEMI SWITCH)",Receiver,1,parts_01.csv
A19-079,QX-8000; SX-1500TD,2,A19-079-0,Knob for Mini switch (QUADRILIZER); Knob for Push Switch,Receiver,2,parts_01.csv
A19-085,SX-2500,1,A19-085-0,"Knob for LOW, HIGH FlLTER,TAPE MONITOR A, B, LOUDNESS.MPX NOISE FlLTER,PHDNO SELECTOR. FM STEREO STATION and LOCAL STATION switch",Receiver,1,parts_01.csv
A19-095,QA-800; QC-800; QL-600; QM-800; SA-500A; SA-600; SA-800; TX-500A; TX-600; TX-800,10,A19-095; A19-095-0; A19-095-A,"BUTTON(FUNCTION-MODE/TAPE...ETC; Knob for Lever Switch; Knob for lever switch; Knob for MUTING, FILTERS, TAPE MONITORS and PHONO 2; Knob for power; Knobs for Lever switches",Amplifier; Integrated Amplifier; Pre-Amplifier; Tuner,10,parts_01.csv
A19-096,SA-1000,1,A19-096-0,Lever switch knob,Integrated Amplifier,1,parts_01.csv
A19-618,PL-A35,1,A19-618-A,Elevator knob,Turntable,1,parts_01.csv
A31-080,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-1500T; SX-700T,5,A31-080-0; A31-080-A,Dial Pointer; Diat Pointer; Dlal Pointer,Receiver,5,parts_01.csv
A31-087,SX-770,1,A31-087-A,Dial Pointer,Receiver,1,parts_01.csv
A31-087 0,SX-440,1,A31-087 0,Dial Pointer,Receiver,1,parts_01.csv
A31-090,SX-1500TD; SX-990,2,A31-090-A,Dial Pointer,Receiver,2,parts_01.csv
A31-092,TX-700,1,A31-092,DIAL POINTER,Tuner,1,parts_01.csv
A31-095,SX-2500,1,A31-095-0,Dial Pointer,Receiver,1,parts_01.csv
A33-023,SX-1000TA (Later),1,A33-023-0,Dial Scale,Receiver,1,parts_01.csv
A33-036,SX-700T,1,A33-036-C,Dial Scale,Receiver,1,parts_01.csv
A33-050,SX-1500T,1,A33-050-A,Dial Scale,Receiver,1,parts_01.csv
A33-065,SX-1000TD; SX-1000TW,2,A33-065-0,Dial Scale; Dlal Scale,Receiver,2,parts_01.csv
A33-074,SX-440,1,A33-074-0,Dial Glass,Receiver,1,parts_01.csv
A33-084,SX-1500TD; SX-990,2,A33-084-A,Dial Glass,Receiver,2,parts_01.csv
A33-088,SX-770,1,A33-088-B,Dial Glass,Receiver,1,parts_01.csv
A33-110,SX-9000,1,A33-110-A,Dial Board for Tuning,Receiver,1,parts_01.csv
A33-124,SX-2500,1,A33-124-A,Dial Glass,Receiver,1,parts_01.csv
A41-628,PL-A25,1,A41-628-A,Function lever templet,Turntable,1,parts_01.csv
A41-629,PL-A25,1,A41-629-B,Speed selector templet,Turntable,1,parts_01.csv
A42-607,PL-25/F; PL-50,2,A42-607-0,Line voltage nameplate; Power nameplate,Turntable,2,parts_01.csv
A42-609,PL-A25,1,A42-609-0,Frequency templet,Turntable,1,parts_01.csv
A45-603,PL-25/F,1,A45-603-0,Speed selector nameplate,Turntable,1,parts_01.csv
A45-607,PL-A25,1,A45-607-0,Nameplate (B),Turntable,1,parts_01.csv
A45-635,PL-25/F,1,A45-635-0,Nameplate,Turntable,1,parts_01.csv
A45-670,PL-25/F; PL-A25,2,A45-670-3; A45-670-B,Elevator nameplate; Tonearm elevator templet,Turntable,2,parts_01.csv
A45-678,PL-A25,1,A45-678-A,Nameplate (A),Turntable,1,parts_01.csv
A51-008,PL-A35,1,A51-008-0,Elevator lever template,Turntable,1,parts_01.csv
A51-009,PL-A35,1,A51-009-0,Speed selector template,Turntable,1,parts_01.csv
A55-008,SX-9000,1,A55-008-A,Paper for Dial Pulley In Reverberation,Receiver,1,parts_01.csv
A55-013,PL-12E; PL-15D; PL-55/55D; PL-71,4,A55-013-A,Name plate; Name plate B,Turntable,4,parts_01.csv
A55-014,PL-15D,1,A55-014-A,Name plate,Turntable,1,parts_01.csv
A59-026,SR-202W,1,A59-026-0,Lens (Red) for Power,Reverb,1,parts_01.csv
A59-030,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-1500T; SX-700T,5,A59-030-0,Bracket; Bracket (Orange),Receiver,5,parts_01.csv
A59-040,SR-202W,1,A59-040-A,Lens for Indicatur,Reverb,1,parts_01.csv
A59-051,SX-9000,1,A59-051-0,Pulley for Reverberation,Receiver,1,parts_01.csv
A61-032,PL-A25,1,A61-032-C,Pionner's nameplate,Turntable,1,parts_01.csv
A61-206,PL-15D,1,A61-206-B,Name plate,Turntable,1,parts_01.csv
A61-216,SX-2500; SX-9000,2,A61-216-0,Meter Escutcheon; Meter Frame,Receiver,2,parts_01.csv
A61-217,SX-9000,1,A61-217-A,Escutcheon,Receiver,1,parts_01.csv
A61-224,PL-50,1,A61-224-0,Rubber mat ring,Turntable,1,parts_01.csv
A61-406,QT-6100,1,A61-406-B,Aluminum frame (A),Reel To Reel Tape,1,parts_01.csv
A61-409,QT-6600,1,A61-409-B,Aluminum frame A (Top side),Reel To Reel Tape,1,parts_01.csv
A61-602,PL-12DII; PL-12E; PL-15D; PL-25/F; PL-A25; PL-A35,6,A61-602-0; A61-602-A,Center ring plate; Ring; Rubber mat ring; Rubbermat ring,Turntable,8,parts_01.csv
A62-039,SX-9000,1,A62-039-B,Lens for Program Indicator Lamp (RED),Receiver,1,parts_01.csv
A62-040,SX-9000,1,A62-040-B,Lens for Program Indicator Lemo (BLUE),Receiver,1,parts_01.csv
A62-041,SX-9000,1,A62-041-B,Lens for Program indicator Lamp (GREEN),Receiver,1,parts_01.csv
A62-042,SX-9000,1,A62-042-B,Lens for Program indicator Lamp (WHITE),Receiver,1,parts_01.csv
A62-043,SX-9000,1,A62-043-B,Lens for Program Indicator Lamp (PINK),Receiver,1,parts_01.csv
A62-044,SR-202W,1,A62-044-0,Indicator Board,Reverb,1,parts_01.csv
A62-045,SA-500; SA-700; SA-900; SX-770,4,A62-045-0; A62-045-O,Bracket for FM Stereo; Lens for Pilot Lamp; Lens. for Pilot Lamp,Integrated Amplifier; Receiver,4,parts_01.csv
A62-054,SX-9000,1,A62-054-0,Lens for Pilot Lamp,Receiver,1,parts_01.csv
A62-055,SX-9000,1,A62-055-B,Dial Board,Receiver,1,parts_01.csv
A66-026,SX-2500,1,A66-026-A,Switch Frame,Receiver,1,parts_01.csv
A66-402,QT-6100,1,A66-402-B,Counter escutcheon,Reel To Reel Tape,1,parts_01.csv
A66-404,T-6600,1,A66-404,DUST COVER,Reel To Reel Tape,1,parts_01.csv
A66-409,T-8800,1,A66-409,BUTTON(RECORD),Reel To Reel Tape,1,parts_01.csv
A66-852,QT-6100; QT-6600; QT-74; T-6100,4,A66-852; A66-852-A,BUTTON(RESET); Finger rest,Reel To Reel Tape,4,parts_01.csv
A91-005,SX-1000TA (Later); SX-700T,2,A91-005-D,Tuning Meter,Receiver,2,parts_01.csv
A91-007,SX-1000TD; SX-1000TW; SX-1500T; SX-440,4,A91-007-0,Tumng Meter; Tuning Meter,Receiver,4,parts_01.csv
A91-008,SX-1500TD; SX-2500; SX-9000; SX-990; TX-900,5,A91-008; A91-008-0; A91-008-B; A91-008-D,FM Tuning Meter; Meter for FM Tuning; METER(TUNING/FM); Tuning Meter (Upper); Tunlng Meter (Upper),Receiver; Tuner,5,parts_01.csv
A91-009,SX-1500TD; SX-2500; SX-770; SX-9000; SX-990; TX-700; TX-900,7,A91-009; A91-009-0; A91-009-A; A91-009-B; A91-009-D,Meter for Signal; METER(SIGNAL); Signal Meter; Tuning Meter; Tuning Meter (Lower),Receiver; Tuner,7,parts_01.csv
A91-014,T-3300; T-6100,2,A91-014,LEVEL METER,Cassette Tape; Reel To Reel Tape,2,parts_01.csv
A91-016,TX-1000; TX-800,2,A91-016,METER,Tuner,2,parts_01.csv
A91-017,SX-626 (1971); TX-1000; TX-800,3,A91-017; A91-017-B,METER; Signal meter,Receiver; Tuner,3,parts_01.csv
A91-019,SD-1000,1,A91-019-O,Level meter,Other,1,parts_01.csv
A91-020,QM-800,1,A91-020-E,Level meter,Amplifier,1,parts_01.csv
A91-402,T-6600,1,A91-402,METER,Reel To Reel Tape,1,parts_01.csv
A91-403,T-8800,1,A91-403,METER,Reel To Reel Tape,1,parts_01.csv
A92-401,T-6100; T-6600,2,A92-401,COUNTER,Reel To Reel Tape,2,parts_01.csv
AA11009,SX-1000TA (Early),1,AA11009,Knob Selector,Receiver,1,parts_01.csv
AA11012,SX-1000TA (Early),1,AA11012,"Knob Volume, Balance P0wer",Receiver,1,parts_01.csv
AA11015,SX-1000TA (Early),1,AA11015,Knob Mode,Receiver,1,parts_01.csv
AA11019,SX-1000TA (Early),1,AA11019,Knob Tuning,Receiver,1,parts_01.csv
AA11035,SX-1000TA (Early),1,AA11035,Knob Bass Treble(L),Receiver,1,parts_01.csv
AA11038,SX-1000TA (Early),1,AA11038,Knob Bass Treble(R),Receiver,1,parts_01.csv
AA3180,SX-1000TA (Early),1,AA3180,Dial Pointer,Receiver,1,parts_01.csv
AA3323,SX-1000TA (Early),1,AA3323,Dial Scale,Receiver,1,parts_01.csv
AA5030,SX-1000TA (Early),1,AA5030,Bracket (Orange),Receiver,1,parts_01.csv
AA9105,SX-1000TA (Early),1,AA9105,Tuning Meter,Receiver,1,parts_01.csv
AAA-001,QX-8000; QX-8000A; SX-6000,3,AAA-001-A; AAA-001-B,"Knob for Tuning; Knob for TUNING; Knob, TUNING",Receiver,3,parts_01.csv
AAA-003,TX-500A,1,AAA-003,KNOB(TUNING),Tuner,1,parts_01.csv
AAA-004,SX-424; SX-525; SX-626 (1971); SX-626 (1973),4,AAA-004-B,Knob (Tuning); Knob for tuning,Receiver,4,parts_01.csv
AAA-006,SX-727; SX-828,2,AAA-006-0,Knob for tuning,Receiver,2,parts_01.csv
AAA-011,QX-4000,1,AAA-011-A,"Knob, tuning",Receiver,1,parts_01.csv
AAA-014,QX-9900,1,AAA-014-0,Knob (TUNING),Receiver,1,parts_01.csv
AAA-015,TX-7100; TX-8100,2,AAA-015-0,Knob (TUNING),Tuner,2,parts_01.csv
AAA-017,TX-9100,1,AAA-017-A,Knob (TUNING),Tuner,1,parts_01.csv
AAA-018,TX-6200,1,AAA-018-A,Knob (TUNING),Tuner,1,parts_01.csv
AAA-020,QX-646,1,AAA-020-0,Knob (TUNING),Receiver,1,parts_01.csv
AAA-023,QX-747; QX-747A; QX-949; QX-949A,4,AAA-023; AAA-023-0,Knob (TUNING); Knob (Tuning); Knob (tuning),Receiver,4,parts_01.csv
AAA-024,SX-434; SX-535; SX-636; SX-737,4,AAA-024-0,Knob (TUNING); Knob (Tuning); Knob (tuning),Receiver,4,parts_01.csv
AAA-026,SX-1010; SX-838; SX-939,3,AAA-026-0; AAA-026-A,Knob (Tuning),Receiver,3,parts_01.csv
AAA-027,TX-5300,1,AAA-027-A,Knob (TUNING),Tuner,1,parts_01.csv
AAA-028,TX-7500; TX-9500,2,AAA-028; AAA-028-0,Knob (TUNING); KNOB(TUNING),Tuner,2,parts_01.csv
AAA-034,SX-1050; SX-1250; SX-850; SX-950,4,AAA-034,Knob (TUNING); Knob (TUNlNG),Receiver,4,parts_01.csv
AAA-035,TX-6500II,1,AAA-035,Knob (TUNING),Tuner,1,parts_01.csv
AAA-036,SX-450; SX-550; SX-650; SX-750,4,AAA-036,Knob (TUNING); Knob (TUNlNG),Receiver,4,parts_01.csv
AAA-038,TX-8500II; TX-9500II,2,AAA-038,Knob (TUNING),Tuner,2,parts_01.csv
AAA-045,F-28,1,AAA-045,Knob (TUNING),Tuner,1,parts_01.csv
AAA-046,SX-1980,1,AAA-046,Knob (TUNING),Receiver,1,parts_01.csv
AAA-047,SX-1080; SX-1280; SX-980,3,AAA-047,Knob (TUNING),Receiver,3,parts_01.csv
AAA-050,SX-580/590; SX-680/690; SX-780; SX-880/890,4,AAA-050,Knob (TUNING),Receiver,4,parts_01.csv
AAA-057,TX-7800; TX-9800,2,AAA-057,KNOB(TUNING),Tuner,2,parts_01.csv
AAA-058,TX-6800/608,1,AAA-058,Knob (TUNING),Tuner,1,parts_01.csv
AAA-061,SX-3400,1,AAA-061,Tuning knob,Receiver,1,parts_01.csv
AAA-065,SX-3700; SX-3900; SX-820,3,AAA-065,Knob (TUNING),Receiver,3,parts_01.csv
AAA-066,SX-3800,1,AAA-066,Knob (TUNING),Receiver,1,parts_01.csv
AAA-068,SX-3500; SX-3600/720,2,AAA-068,Knob (TUNING); Tuning knob,Receiver,2,parts_01.csv
AAA-069,SX-600; SX-600L; SX-700; SX-700L,4,AAA-069,Knob (TUNING); Knob (VOLUME),Receiver,5,parts_01.csv
AAA-079,TX-130L; TX-530L,2,AAA-079,Knob (TUNING),Tuner,2,parts_01.csv
AAA-084,SX-202,1,AAA-084,Tuning knob,Receiver,1,parts_01.csv
AAB -152,M-25,1,AAB -152,Knob (POWER),Amplifier,1,parts_01.csv
AAB-001,QX-8000; SX-6000,2,AAB-001-0,"Knob for BASS, TREBLE and BALANCE; Knob for Power, Speakers, Bass,Treble, Mode and Balance",Receiver,2,parts_01.csv
AAB-003,QX-8000; SX-6000,2,AAB-003-A,"Knob for Selector and Volume; Knob for VOLUME, MODE and SELECTOR",Receiver,2,parts_01.csv
AAB-004,SA-500A,1,AAB-004-B,Knob for Selector,Integrated Amplifier,1,parts_01.csv
AAB-005,SA-500A,1,AAB-005-A,Knob for Volume (R),Integrated Amplifier,1,parts_01.csv
AAB-006,SA-500A,1,AAB-006-B,Knob for Volume (L),Integrated Amplifier,1,parts_01.csv
AAB-007,SX-424; SX-525; SX-626 (1971); SX-626 (1973); SX-727; SX-828,6,AAB-007-B; AAB-007-C,"Knob (Balance. Volume); Knob (Selector); Knob (Speakers, Bass, Treble); Knob for power, selector, mode, volume and balance; Knob for selector, output selector, bass, and treble; Knob for speakers, bass, treble, balance, volume and selector; Knob for volume, balance, selector speakers and mode",Receiver,8,parts_01.csv
AAB-013,SX-424; SX-727; SX-828,3,AAB-013-0,Knob for bass and treble (L); Knob for volume (L),Receiver,3,parts_01.csv
AAB-014,SX-424; SX-727; SX-828,3,AAB-014-0,Knob for bass and treble (R); Knob for volume (R),Receiver,3,parts_01.csv
AAB-024,QA-800A; QC-800A; QL-600A; QM-800A,4,AAB-024-0,"Knob, input level and meter level; Knob, mode and volume; Knob, selector and mode",Amplifier; Integrated Amplifier; Pre-Amplifier,4,parts_01.csv
AAB-025,QD-240; QL-600A; QX-9900; SD-1100,4,AAB-025; AAB-025-0,"KNOB; Knob (BALANCE); Knob (Frequency, function, meter range, sweep range); Knob, bass, treble, and level",Integrated Amplifier; Other; Receiver,4,parts_01.csv
AAB-026,QX-4000; QX-8000A,2,AAB-026-A,"Knob, selector and mode; Knob, VOLUME, MODE and SELECTOR",Receiver,2,parts_01.csv
AAB-027,QX-4000; QX-8000A,2,AAB-027-A,"Knob, BASS, TREBLE and BALANCE; Knob, power, balances, and volume",Receiver,2,parts_01.csv
AAB-028,QA-800A; QC-800A,2,AAB-028-0,"Knob, volume",Integrated Amplifier; Pre-Amplifier,2,parts_01.csv
AAB-029,QA-800A; QC-800A; QM-800A,3,AAB-029-0,"Knob, bass and treble; Knob, bass. treble. and output selector; Knob, speaker selector",Amplifier; Integrated Amplifier; Pre-Amplifier,3,parts_01.csv
AAB-030,QA-800A; QC-800A; QX-9900,3,AAB-030-0,"Knob (MIC MIXING); Knob, level control",Integrated Amplifier; Pre-Amplifier; Receiver,3,parts_01.csv
AAB-032,QX-4000,1,AAB-032-0,"Knob, bass and treble (L)",Receiver,1,parts_01.csv
AAB-033,QX-4000,1,AAB-033-0,"Knob, bass and treble (R)",Receiver,1,parts_01.csv
AAB-035,QX-9900,1,AAB-035-0,"Knob (SELECTOR, MODE, and REVERB MODE)",Receiver,1,parts_01.csv
AAB-036,QX-9900,1,AAB-036-A,Knob (REVERB TlME),Receiver,1,parts_01.csv
AAB-037,QX-9900,1,AAB-037-0,Knob (VOLUME),Receiver,1,parts_01.csv
AAB-038,SD-1100,1,AAB-038-0,"Knob (Gain, Sweep variable); Knob (Level); Knob (Position)",Other,3,parts_01.csv
AAB-039,SA-7100,1,AAB-039-0,Knob for VOLUME,Integrated Amplifier,1,parts_01.csv
AAB-040,SA-7100; SA-8100; SA-9100,3,AAB-040-0,"Knob for FUNCTION; KNOB FOR FUNCTION; Knob, function",Integrated Amplifier,3,parts_01.csv
AAB-041,SA-7100; SA-8100; SA-9100; TX-7100; TX-8100; TX-9100,6,AAB-041-0,"Knob (FUNCTION); KNOB FOR BALANCE; Knob for BASS, TREBLE, SPEAKERS; KNOB FOR MODE; Knob, speaker, bass (100Hz) / treble (10kHz)",Integrated Amplifier; Tuner,7,parts_01.csv
AAB-042,SA-7100; SA-8100; SA-9100,3,AAB-042-0,"Knob for BALANCE; KNOB FOR BASS 100HZ); KNOB FOR SPEAKERS; KNOB FOR TREBLE (10kHZ); Knob, balance, mode",Integrated Amplifier,5,parts_01.csv
AAB-043,SA-8100; SA-9100; TX-7100; TX-8100; TX-9100,5,AAB-043-0,"Knob (OUTPUT and HEADPHONE LEVEL); Knob (OUTPUT LEVEL); Knob (OUTPUT LEVELS - AM/FM/PHONES); KNOB FOR BASS (50Hz); KNOB FOR TREBLE (20kHz); Knob, bass (50Hz) / treble (20kHz)",Integrated Amplifier; Tuner,6,parts_01.csv
AAB-044,SA-8100; SA-9100,2,AAB-044-0,"KNOB FOR LEVEL SET (VOLUME); Knob, level set",Integrated Amplifier,2,parts_01.csv
AAB-045,SA-8100,1,AAB-045-0,"Knob, volume",Integrated Amplifier,1,parts_01.csv
AAB-046,SA-8100; SA-9100; SA-9900,3,AAB-046-A,"Knob (PHONO 2 LEVEL, lMPEDANCE); Knob for level control",Integrated Amplifier,3,parts_01.csv
AAB-051,SA-5200; TX-6200,2,AAB-051; AAB-051-0,"Knob (FUNCTION, BASS, TREBLE); KNOB(FUNCTION-AM/FM/BASS/TREBLE",Integrated Amplifier; Tuner,2,parts_01.csv
AAB-052,SA-5200,1,AAB-052-0,Knob (VOLUME ..... outer),Integrated Amplifier,1,parts_01.csv
AAB-053,SA-5200,1,AAB-053-A,Knob (VOLUME ..... inner),Integrated Amplifier,1,parts_01.csv
AAB-055,QX-747; QX-949,2,AAB-055-B,Knob (CD-4 Separation); Knob (separation),Receiver,2,parts_01.csv
AAB-055- B,QX-646,1,AAB-055- B,Knob (SEPARATION),Receiver,1,parts_01.csv
AAB-056,QD-240,1,AAB-056,KNOB(SEPARATION/CARRIER LEVEL),Other,1,parts_01.csv
AAB-057,QX-646,1,AAB-057-0,Knob (MODE/FUNCTION/VOLUME/REAR BALANCE/BALANCE/FRONT BALANCE/POWER),Receiver,1,parts_01.csv
AAB-058,QX-646,1,AAB-058-0,Double knob Inner (FRONT BASS/FRONT TREBLE),Receiver,1,parts_01.csv
AAB-059,QX-646,1,AAB-059-0,Double knob Outer (REAR BASS/REAR TREBLE),Receiver,1,parts_01.csv
AAB-064,QX-747; QX-949,2,AAB-064-A,Knob (Level); Knob (level),Receiver,2,parts_01.csv
AAB-065,QX-747; QX-747A; QX-949; QX-949A,4,AAB-065; AAB-065-0,"Knob (FRONT BASS); Knob (FRONT TREBLE); Knob (FUNCTION); Knob (MODE); Knob (REAR BASS); Knob (REAR TREBLE); Knob (VOLUME); Knob (Volume, Bass, Treble, Mode, Function); Knob (volume, bass, treble, mode,function)",Receiver,16,parts_01.csv
AAB-067,RG-1,1,AAB-067,Knob (DYNAMIC EXPANSlON); Knob (INPUT LEVEL),Dynamic Range Expander,2,parts_01.csv
AAB-068,SX-1010; SX-434; SX-535; SX-636; SX-737; SX-838; SX-939,7,AAB-068-0; AAB-068-A,"Knob (Bass); Knob (BASS, TREBLE, BALANCE,VOLUME, FUNCTION); Knob (Bass-main); Knob (Bass-main, Volume, Balance); Knob (bass. treble, balance, volume, function); Knob (Speaker, Bass, Treble, Balance,Volume, Function); Knob (Treble, Volume, Balance, Rec selector); Knob (Treble-main); Knob (Treble-main, Volume, Balance); Knob (volume, balance, bass, treble, function, rec selector)",Receiver,10,parts_01.csv
AAB-069,SX-1010; SX-939,2,AAB-069-A; AAB-069-B,Knob (Bass-sub); Knob (Treble-sub),Receiver,4,parts_01.csv
AAB-072,MA-62A,1,AAB-072,PAN-POT KNOB,Other,1,parts_01.csv
AAB-073,Exclusive M3,1,AAB-073-0,Knob (speaker level),Amplifier,1,parts_01.csv
AAB-079,QX-747A; QX-949A,2,AAB-079,Knob (IND LEVEL LEFT REAR); Knob (IND LEVEL RIGHT FRONT); Knob (IND LEVEL RIGHT REAR); Knob (IND LEVELLEFT FRONT); Knob (LEFT FRONT); Knob (LEFT REAR); Knob (RIGHT FRONT); Knob (RIGHT REAR),Receiver,8,parts_01.csv
AAB-080,QX-747A; QX-949A,2,AAB-080,Knob (CD-4 SEPARATION LEFT); Knob (CD-4 SEPARATION RIGHT),Receiver,4,parts_01.csv
AAB-084,SA-7500; SA-8500; SA-9500; SA-9900,4,AAB-084-0,Knob (FUNCTION),Integrated Amplifier,4,parts_01.csv
AAB-085,SA-9900,1,AAB-085-A,Knob (VOLUME),Integrated Amplifier,1,parts_01.csv
AAB-086,SA-9500; SA-9900,2,AAB-086-0,"Knob (BALANCE); Knob (BASS TURN OVER); Knob (BASS); Knob (BASS-50HZ, BASS-100HZ,TREBLE-10kHZ, TREBLE-20kHZ,SPEAKERS, MODE, BALANCE); Knob (MODE); Knob (SPEAKERS); Knob (TREBLE TURN OVER); Knob (TREBLE)",Integrated Amplifier,8,parts_01.csv
AAB-087,SA-7500; SA-8500,2,AAB-087-0,Knob (VOLUME),Integrated Amplifier,2,parts_01.csv
AAB-089,SA-9500,1,AAB-089-A,Knob (VOLUME),Integrated Amplifier,1,parts_01.csv
AAB-090,SA-8500,1,AAB-090-A,Knob (MIC/PHONO 2 LEVEL),Integrated Amplifier,1,parts_01.csv
AAB-091,SA-7500; SA-8500; TX-7500; TX-9500,4,AAB-091; AAB-091-0,"Knob (BASS,BASS TURNOVER,TREBLE,TREBLE TURNOVER,SPEAKERS,MODE; Knob (MODE,SPEAKERS); Knob (OUTPUT LEVEL, FUNCTION); Knob (TREBLE,BASS); KNOB(BASS/TREBLE/SPKR) AAB-086",Integrated Amplifier; Tuner,5,parts_01.csv
AAB-094,SA-7500; SA-8500,2,AAB-094-0; AAB-094-A,Knob (BALANCE),Integrated Amplifier,2,parts_01.csv
AAB-095,SPEC-1,1,AAB-095,Knob (VOLUME),Pre-Amplifier,1,parts_01.csv
AAB-096,SPEC-1,1,AAB-096,Knob (FUNCTION),Pre-Amplifier,1,parts_01.csv
AAB-097,SPEC-1; SPEC-2,2,AAB-097,Knob (BALANCE); Knob (BASS 100Hz); Knob (BASS 50Hz); Knob (LEFT LEVEL); Knob (MODE); Knob (SPEAKERS); Knob (TREBLE 10kHz); Knob (TREBLE 20kHz),Amplifier; Pre-Amplifier,8,parts_01.csv
AAB-098,SPEC-1,1,AAB-098,Knob (MIC MIXING); Knob (PHONO 2 LEVEL),Pre-Amplifier,2,parts_01.csv
AAB-099,SX-450; SX-550; SX-650; SX-750,4,AAB-099,"Knob (BALANCE); Knob (BASS); Knob (BASS, TREBLE); Knob (TREBLE)",Receiver,11,parts_01.csv
AAB-100,SX-1050; SX-1250; SX-450; SX-550; SX-650; SX-750; SX-850; SX-950,8,AAB-100,"Knob (BALANCE); Knob (BASS 100HZ); Knob (BASS 50Hz); Knob (BASS 50Hz, 100Hz); Knob (BASS); Knob (FUNCTION); Knob (SPEAKER); Knob (SPEAKERS); Knob (TREBLE 10kHz); Knob (TREBLE 10kHz, 20kHz); Knob (TREBLE 20kHz); Knob (TREBLE); Knob (VOLUME)",Receiver,25,parts_01.csv
AAB-103,SX-850; SX-950,2,AAB-103,Knob (VOLUME),Receiver,2,parts_01.csv
AAB-104,SX-1050; SX-1250,2,AAB-104,Knob (VOLUME),Receiver,2,parts_01.csv
AAB-105,SA-6500,1,AAB-105,Knob (VOLUME),Integrated Amplifier,1,parts_01.csv
AAB-106,SA-6500,1,AAB-106,Knob (BASS); Knob (FUNCTION); Knob (SPEAKERS); Knob (TREBLE),Integrated Amplifier,4,parts_01.csv
AAB-107,SA-6500,1,AAB-107,Knob (BALANCE),Integrated Amplifier,1,parts_01.csv
AAB-110,SX-550,1,AAB-110,Knob (VOLUME),Receiver,1,parts_01.csv
AAB-114,SA-8500II; SA-9500II,2,AAB-114,Knob (VOLUME),Integrated Amplifier,2,parts_01.csv
AAB-115,SA-8500II; SA-9500II,2,AAB-115,Knob (FUNCTION),Integrated Amplifier,2,parts_01.csv
AAB-116,SA-8500II; SA-9500II; TX-8500II; TX-9500II,4,AAB-116,Knob (BALANCE); Knob (BASS); Knob (FUNCTION); Knob (MODE); Knob (OUTPUT LEVEL); Knob (SPEAKERS); Knob (TREBLE),Integrated Amplifier; Tuner,14,parts_01.csv
AAB-117,SA-8500II; SA-9500II,2,AAB-117,Knob (CARTRIDGE LOAD),Integrated Amplifier,2,parts_01.csv
AAB-122,C-21,1,AAB-122,Knob (VOLUME),Pre-Amplifier,1,parts_01.csv
AAB-123,C-21,1,AAB-123,Knob (FUNCTION),Pre-Amplifier,1,parts_01.csv
AAB-124,C-21,1,AAB-124,Knob (GAIN),Pre-Amplifier,1,parts_01.csv
AAB-125,C-21,1,AAB-125,Knob (CARTRIDGE LOAD),Pre-Amplifier,1,parts_01.csv
AAB-129,SA-5500II,1,AAB-129,Knob (VOLUME),Integrated Amplifier,1,parts_01.csv
AAB-130,SA-5500II,1,AAB-130,"Knob (BALANCE); Knob (FUNCTION); Knob (TREBLE, BASS)",Integrated Amplifier,3,parts_01.csv
AAB-144,SA-6500II,1,AAB-144,Knob (VOLUME),Integrated Amplifier,1,parts_01.csv
AAB-145,SA-6500II; SA-7500II,2,AAB-145,Knob (BASS); Knob (FUNCTION); Knob (SPEAKERS); Knob (TREBLE),Integrated Amplifier,7,parts_01.csv
AAB-146,SA-6500II; SA-7500II,2,AAB-146,Knob (BALANCE),Integrated Amplifier,2,parts_01.csv
AAB-147,SA-7500II,1,AAB-147,Knob (VOLUME),Integrated Amplifier,1,parts_01.csv
AAB-152,M-22,1,AAB-152,Knob (POWER),Amplifier,1,parts_01.csv
AAB-153,SPEC-4,1,AAB-153,Knob (LEFT LEVEL); Knob (RIGHT LEVEL),Amplifier,2,parts_01.csv
AAB-165,A-27,1,AAB-165,Knob (VOLUME),Integrated Amplifier,1,parts_01.csv
AAB-167,A-27,1,AAB-167,Knob (FUNCTION),Integrated Amplifier,1,parts_01.csv
AAB-171,A-27,1,AAB-171,"Knob (SPEAKERS, BASS, TREBLE, BALANCE, MODE, DUPLICATE, CARTRIDGE LOAD)",Integrated Amplifier,1,parts_01.csv
AAB-173,F-28,1,AAB-173,Knob (OUTPUT LEVEL),Tuner,1,parts_01.csv
AAB-174,SX-1080; SX-1280; SX-1980; SX-980,4,AAB-174,Knob (VOLUME),Receiver,4,parts_01.csv
